ID_plot,litter,duff
534001,290,2640
525610,448,973
554722,740,880
554515,428,1209
554511,330,1108
556310,310,1095
554310,425,1639
554305,287,1054
552608,363,1063
550804,224,1450
550803,199,3744
550705,474,780
550707,750,10121
549013,467,1378
550604,438,679
550502,284,2560
550607,329,1595
550404,491,1544
550409,537,1435
552104,212,1011
553905,466,1113
553911,432,358
553909,373,1857
529505,295,892
528103,328,1690
528105,332,2822
529513,247,724
529602,267,910
528306,319,4210
528309,326,1240
528409,392,2700
528303,351,1411
527003,385,1816
526908,284,2012
536802,1206,2476
525704,355,1576
525701,537,1771
526905,475,2600
527101,503,2202
527111,175,2006
528503,355,2671
529902,355,2567
528610,309,917
528602,311,1268
538501,413,5917
538505,543,2049
540001,444,2342
540005,330,1748
541405,292,3592
541406,583,2780
541501,571,1273
540113,281,1080
540103,523,2557
538612,534,1469
538610,545,1542
538601,318,1097
537101,218,329
209809,517,1911
209706,377,2733
209317,213,2786
209302,665,2620
209222,414,763
209702,368,3045
209619,537,3434
209219,218,660
209102,314,2840
209005,687,2401
209103,431,4054
208507,486,1020
211915,356,6134
211813,350,3710
212501,817,3048
212407,533,1416
211815,422,2797
211810,543,3790
211801,442,3215
211004,516,2181
211707,430,4567
210805,551,897
214014,369,1004
215406,485,1499
215417,488,1528
217116,1058,9400
218703,451,4531
218712,407,702
218610,522,1541
217002,584,3009
533528,250,1460
558212,420,1100
534202,360,2240
558217,530,1320
533802,290,2190
533807,260,1490
534703,300,2650
534801,490,3920
533419,510,4870
534402,440,1410
554724,500,6270
556507,272,1623
538301,430,2580
541305,500,820
541301,490,3029
541203,680,2870
542609,380,2550
556710,910,4680
556704,600,2520
558311,830,1180
538303,360,900
207303,520,3590
533617,360,650
206708,240,1480
524917,190,990
525920,122,920
527207,230,990
205522,470,870
535902,350,3720
534901,190,1580
533117,300,1550
534420,1060,4700
533508,410,1090
541303,580,1390
554725,900,2620
558106,630,1260
206202,290,1220
534706,360,2350
530906,320,2730
531002,460,6050
531008,410,1520
529821,180,1400
529714,180,1230
529702,230,2530
529607,330,1430
527103,340,3510
525913,300,4290
528403,270,2010
526701,556,953
556809,760,690
1,910,3240
2,940,1710
3,620,6680
4,360,4290
5,480,2530
6,330,6280
7,440,3000
8,300,1710
9,430,1620
10,360,2440
11,550,3930
12,310,3620
13,340,930
14,300,1780
15,410,950
16,860,4660
17,820,2570
19,660,990
20,410,1660
21,180,1160
22,390,1230
23,460,1720
24,660,2280
25,870,7230
26,330,970
27,200,700
28,510,1030
29,430,1930
205519,370,1970
205517,340,2770
